ZEB 102	Introductory Zoology	2
ZEB 122	Parasitology for Medical Students	2	
ZEB 172	Introductory Environmental Biology	2	
ZEB 202	General Invertebrate Zoology II	2	
ZEB 272	Environmental Health Biology	2	
ZEB 276	Ecotoxicology and Environmental Safety	2	
ZEB 312	Basic Physiology Practical	2	
ZEB 402	Ethology	2	
ZEB 404	Small Animal Production	2
ZEB 412	Animal Physiology II	2
ZEB 422	Animal Parasitology	2
ZEB 432	Entomology II	2
ZEB 442	Fisheries Biology II	2
ZEB 452	Animal Ecology	2	
ZEB 454	Animal Biodiversity Management and Prospecting	2
ZEB 462	Animal Molecular Biology and Bioinformatics	2
ZEB 464	Advanced Animal Biotechnology II	2
ZEB 468	Population Genetics	2	
ZEB 472	Environmental Impact Assessment	2	
ZEB 490	Research Project	6	
COS 304                                 Computer Applications                                               2
GSP 208                                  Nigerian Peoples and Culture                                     2
GSP 202                                  Issues in Peace and Conflict Resolution Studies        2
Total                                                                           21
 

 
SECOND YEAR
 
Course No.                             Title                                                                            Units
First Semester
Major Courses
PSB 261                                  Climate Change and Plant Life II                              1
PSB 313                                  Morphology & Phytosystematics of Higher Plants    2
PSB 331                                  General Plant Physiology                                            2
PSB 355                                  General Plant Molecular Biology                                2
PSB 391                                  Research Methods and Plant Breeding                      2
 
Required Ancillary Courses
CHM 211                                General Physical Chemistry I                                     2
BCH 301                                 Enzymology                                                                2
BCH 351                                 Primary Metabolic Pathways  I                                   2
BCH 352                                 Primary Metabolic Pathways  II                                 2
BCH 353                                 Primary Metabolic Pathways  III                                2
BCH 354                                 Primary Metabolic Pathways  IV                                2
CED 341                                 Introduction to Entrepreneurship                               2
 
Total                                                                           19
 
Second Semester
PSB 392                                  Students Industrial Work Experience (SIWES)
Field work                                                                   6
PSB 394                                  SIWES Report                                                                        6
PSB 396                                  SIWES Seminar                                                          3
                                                Total                                                                           15
 

 
THIRD YEAR
 
First Semester
Course No.                             Title                                                                            Unit
Major Courses
PSB 303                                  Ethnomedicinal Plants                                                2
PSB 431                                  Advances in Plant Physiology                                    2
PSB 441                                  Advances in Plant Pathology                                      2
PSB 463                                  Economic and Industrial Botany                                2
PSB 481                                  Seminar                                                                       2
PSB 491                                  Principles of Scientific Writing                                   1
BCH 401                                 Advanced Enzymology                                              2
BCH 411                                 Biosynthesis of Macromolecules                                2
BCH 431                                 Bioinorganic Chemistry                                              2
BCH 481                                 Biochemical Reasoning                                               1
 
Electives (Choose any 2 units)                                                                                  2
PSB 411                                  Dendrology                                                                 2
PSB 413                                  Herbarium and Phytosystematics                               2
PSB 415                                  Introductory Palynology                                             2
PSB 417                                  Freshwater Phycology                                                2
PSB 433                                  Plant Embryology &Morphogenesis                           2
PSB 443                                  Fungus Physiology                                                      2
PSB 445                                  Plant Virology and Diagnostics                                 2
PSB 451                                  Cytology                                                                     2
PSB 453                                  Genetics and Plant Breeding                                      2
PSB 457                                  Phytoinformatics                                                         1
PSB 461                                  Aquatic and Pollution Biology                                   2
PSB 465                                  Phyto-Environmental Impact Assessment                  2
PSB 471                                  Tissue Culture and Micropropagation             2
PSB 473                                  Phytobiofuels                                                              1
PSB 475                                  Plant Biophysics                                                         2
PSB 477                                  Applications of Plant Biotechnology                          2
Total                                                                           20
 
Second Semester
BCH 452                                 Metabolic Regulations                                                2
BCH 462                                 Plant Biochemistry                                                      2
PSB 422                                  Plant Anatomy                                                            2
PSB 462                                  Plant Ecology                                                              2
PSB 466                                  Phyto-industrial Relations                                          1
PSB 464                                  Phytoremediation & Erosion Management                 2
PSB 474                                  Phytobiotechnology Ethics                                         1
PSB 492                                  Project                                                                         6
BIO 362                                  Basic Principles of Ecology                                        2
Total                                                                           20
 
 

 
REVISED COMBINED HONOURS PROGRAMME
PLANT SCIENCE AND BIOTECHNOLOGY/CHEMISTRY
THREE-YEAR STANDARD PROGRAMME
FIRST YEAR
First Semester
Course No.                             Title                                                                            Unit
Major Courses
PSB 221                                  General Plant Anatomy                                              2
PSB 241                                  General Mycology                                                      2
PSB 301                                  Phytotechniques                                                          1
BIO 351                                  General genetics                                                          2
CHM 201                                General Inorganic Chemistry                                      2
CHM 211                                General Physical Chemistry I                                     3
CHM 221                                General Organic Chemistry                                        2
 
Required Ancillary Courses
COS 101                                 Introduction to Computer Science                             2
GSP 111                                  Use of Library and Study Skills                                 2
GSP 201                                  Basic Concepts and Theory of Peace                         2
GSP 207                                  Logic, Philosophy and Human Existence                   2
_________
Total                                                                          22
 
Second Semester       
Major Courses
BIO 352                                  Cytogenetics                                                               3
PSB 246                                  General Plant Pathology                                             2
PSB 274                                  Plant Macropropagation                                              1
 
Required Ancillary Courses
CED 342                                 Business Development & Management                      2
CHM 222                                General Organic Chemistry                                        2
CHM 232                                Analytical Chemistry                                                  2
CHM 274                                Practical Inorganic Chemistry                                     2
COS 304                                 Computer Applications                                               2
GSP 208                                  Nigerian Peoples and Culture                                     2
GSP 202                                  Issues in Peace and Conflict Resolution Studies        2
_________                                                 Total                                                                           20
 
 
 
 
 
 
 
 
 
 
 
SECOND YEAR
 
First Semester
Course No.                 Title                                                                                 Units
Major Courses
PSB 211                      Phycology and Bryology                                                        2
PSB 213                      Morphology & Phytosystematics lower Plants                       2
PSB 313                      Morphology & Phytosystematics of higher plants                  2
PSB 331                      General Plant Physiology                                                        2
PSB 371                      Principles of Plant Biotechnology                                          2
PSB 261                      Climate Change and Plant Life II                                          1
CHM 273                    Practical Organic Chemistry I                                                 2
CHM 301                    Inorganic Chemistry I                                                             2
CHM 321                    Organic Chemistry I                                                               2
PSB 391                      Research Methods and Plant Breeding                                  2
 
Required Ancillary Courses
BIO 361                      Basic Principles of Ecology                                                    2
CED 341                     Introduction to Entrepreneurship                                           2
 
Electives                                                                                                                     1
Total                                                                                       21
 
Electives
PSB 365                      Vulnerability and Adaptation of Plants to Climate Change               1
PSB 367                       Climate Change and Global Mitigation Strategies                1
 
Second Semester
PSB 392                      Students Industrial Work Experience (SIWES) Field Work  6
PSB 394                      SIWES Report                                                                                    6
PSB 396                      SIWES Seminar                                                                      3
                                    Total                                                                                       15
 

 
THIRD YEAR
Course No.                 Title                                                                                        Unit
First Semester
Major  Courses
PSB 303                      Ethnomedicinal Plants                                                            2
PSB 431                      Advances in Plant Biotechnology                                          2
PSB 441                      Advances in Plant Pathology
OR
PSB 355                      General Plant Molecular Biology                                            2
OR
PSB 463                      Economic and Industrial Botany
OR
PSB 471                      Plant Tissue Culture and Micropropagation
PSB 481                      Seminar                                                                                   2
PSB 491                      Principles of Scientific Writing                                               1
CHM 311                    Physical and Structural Chemistry I                                       2
CHM 373                    Practical Organic Chemistry I                                                 2
CHM 374                    Applied Spectroscopy                                                             2
CHM 421                    Advanced Organic Chemistry I                                              2
CHM 431                    Modern Analytical Techniques                                               2
Electives                                                                                                                     1/ 2
Total                                                                                      20/21
Electives
PSB 411                      Dendrology                                                                             2
PSB 413                      Herbarium and Phytosystematics                                           2
PSB 415                      Introductory Palynology                                                         2
PSB 417                      Freshwater Phycology                                                            2
PSB 433                      Plant Embryology &Morphogenesis                                       2
PSB 443                      Fungus Physiology                                                                  2
PSB 445                      Plant Virology and Diagnostics                                             2
PSB 451                      Cytology                                                                                 2
PSB 453                      Genetics and Plant Breeding                                                  2
PSB 457                      Phytobioinformatics                                                                1
PSB 461                      Aquatic and Pollution Biology                                               2
PSB 465                      Phyto-Environmental Impact Assessment                              1
PSB 473                      Phytobiofuels                                                                          1
PSB 475                      Plant Biophysics                                                                    2
PSB 477                      Applications of Plant Biotechnology                                      2
 
Second Semester
CHM 322                    Organic Chemistry II                                                              2
CHM 312                    Physical and Organic Chemistry II                                         2
CHM 422                    Advanced Organic Chemistry II                                            2
PSB 422                      Plant anatomy                                                                         2
PSB 424                      Timber Products Technology                                                  2
OR
PSB 468                      Phytoremediation and Erosion Management                          2
PSB 462                      Plant Ecology                                                                          2
PSB 492                      Project                                                                                     6
Total                                                                                       18
 
REVISED COMBINED HONOURS PROGRAMME
 
PLANT SCIENCE AND BIOTECHNOLOGY/ZOOLOGY & ENVIRONMENTAL BIOLOGY
 
THREE-YEAR STANDARD PROGRAMME
 
FIRST YEAR
 
Course No.                             Title                                                                Units  
 
First Semester
Major Courses
PSB 211                                  Phycology and Bryology                                            2
PSB 213                                  Morphology &Phytosystematics of Lower Plants      2
PSB 221                                  General Plant Anatomy                                              2
PSB 241                                  General Mycology                                                      2
ZEB 201                                 General Invertebrate Zoology I                                  2
 
Required Ancillary Courses
BCH 201                                 General Biochemistry I                                               3
BIO 351                                  General Genetics                                                         2
GSP 111                                  Use of Library and Study Skills                                 2
GSP 201                                  Basic Concepts and Theory of Peace                         2
GSP 207                                  Logic, Philosophy and Human Existence                   2
Total                                                                           21
 
Second Semester
Major Courses
PSB 162                                  Climate Change and Plant Life I                                1
PSB 246                                  General Plant Pathology                                             2
PSB 272                                  Mushroom Biotechnology                                          2
PSB 274                                  Plant Macropropagation                                              1
ZEB 202                                 General Invertebrate Zoology II                                 2
 
Required Ancillary Courses
BCH 202                                 General Biochemistry II                                             3
BIO 352                                  Cytogenetics                                                               2
CED 342                                 Business Development & Management                      2
COS 304                                 Computer Applications                                               2
GSP 208                                  Nigerian Peoples and Culture                                     2
GSP202                                   Issues in Peace and Conflict Resolution Studies        2
Total                                                                           21
 

 
SECOND YEAR
 
Course No.                             Title                                                                            Units  
First Semester
Major Courses
PSB261                                   Climate Change and Plant Life II                              1
PSB 301                                  Phytotechniques                                                          1
PSB 313                                  Morphology &Phytosystematics of Higher Plants     2
PSB 331                                  General Plant Physiology                                            2
PSB 355                                  General Plant Molecular Biology                                2
PSB 371                                  Principle of Plant Biotechnology                                2
PSB 391                                  Research Methods and Plant Breeding                      2
ZEB 301                                 Chordate Zoology I                                                    2
ZEB 313                                 Animal Histology                                                        2
ZEB 371                                 Ecosystem Monitoring, Biotechnology &
Management                                                               2
CED 341                                 Introduction to Entrepreneurship                               2
 
Elective (Choose any 1 or 2 units)                                                                            1/ 2
PSB 303                                  Ethnomedicinal Plants                                                2
PSB 315                                  Paleobotany                                                                2
PSB 363                                  Forest Resources Conservation                                   2
ZEB 331                                 Introductory Entomology                                           2
PSB 365                                  Vulnerability and Adaptation of Plants to Climate
Change                                                                        1
PSB 367                                  Climate Change and Global Mitigation Strategies     1
Total                                                                         19/ 20
 
Second Semester
PSB 392                                  Students Industrial Work Experience (SIWES)
Field work                                                                   6
PSB 394                                  SIWES Report                                                                        6
PSB 396                                  SIWES Seminar                                                          3
Total                                                                           15
 

 
THIRD YEAR
 
First Semester
Course No.                             Title                                                                            Units  
Major Courses
PSB 431                                  Advances in Plant Physiology                                    2
PSB 441                                  Advances in Plant Pathology                                      2
PSB 453                                  Genetics and Plant Breeding
OR (Choose any one)                                                                                                 2
PSB 455                                  Advances in Plant Molecular Biology
PSB 463                                  Economic and Industrial Botany                                2
PSB 481                                  Seminar                                                                       2
PSB 491                                  Principles of Scientific Writing                                   1
ZEB 311                                 Basic Animal Physiology                                            2
ZEB 401                                 Chordate Zoology II                                                   2
ZEB 403                                 Systematic Zoology and Evolution                            2
ZEB 411                                 Animal Developmental Biology                                 2
 
Elective (Choose 1 or 2 Credits)                                                                               1/2
Total                                                                       20/21
Electives
PSB 303                                  Ethnomedicinal Plants                                                2
PSB 411                                  Dendrology                                                                 2
PSB 413                                  Herbarium and Phytosystematics                               2
PSB 415                                  Introductory Palynology                                             2
PSB 417                                  Freshwater Phycology                                                2
PSB 433                                  Plant Embryology & Morphogenesis                          2
PSB 443                                  Fungus Physiology                                                      2
PSB 445                                  Plant Virology and Diagnostics                                  2
PSB 451                                  Cytology                                                                     2
PSB 457                                  Phytobioinformatics                                                    2
PSB 461                                  Aquatic and Pollution Biology                                   2
PSB 463                                  Phyto-Environmental Impact Assessment                  1
PSB 469                                  Plant Productivity and Apiculture                              1
PSB 473                                  Phyto-biofuels                                                             1
PSB 471                                  Plant Tissue Culture and Micropropagation               2
PSB 475                                  Plant Biophysics                                                         2
PSB 477                                  Applications of Plant Biotechnology                          2
ZEB 443                                 Hydrobiology                                                              2
ZEB 453                                 Conservation and Wildlife Management                    2
 
Second Semester
Major Courses
PSB 422                                  Plant Anatomy                                                            2
PSB424                                   Plant Product Technology                                          2
PSB 462                                  Plant Ecology                                                              2
PSB 464                                  Phytoremediation and Erosion Management              2
PSB 492                                  Project                                                                         6
ZEB 402                                 Ethology                                                                     2
ZEB 404                                 Small Animal Production                                            2
Required Ancillary Course
BIO 362                                  Basic Principles of Ecology                                        2
Total                                                                           20
 
COURSE DESCRIPTION
PSB 211          PHYCOLOGY AND BRYOLOGY                                               2units
Structure, reproduction, adaptation, life cycle and economic importance etc., of the algae and General characteristics of Algae; Classification of Algae; General characteristics, Structure and reproduction of representative forms; and Economic importance of the following algal phyla: Cyanobacteria, Glaucophyta, Rhodophyta, Chlorophyta, Euglenophyta DinophytaApicomplexaCryptophytaHeterokontophyta, (Xanthophyceae, Chrysophyceae, Bacillariophyceae, Phaeophyceae and Prymnesiophyta; Similarities and differences between algae and bryophytes. General characteristics of Bryophytes; Classification of Bryophytes; General characteristics; Structure and reproduction of representative forms; and Economic importance of the following bryophyte groups Hepaticopsida, Anthocerotopsida and Bryopsida.
 
PSB 213          MORPHOLOGY AND PHYTOSYSTEMATICS OF LOWER
PLANTS                                                                                            2units
General features and classification of Pteridophytes and Gymnosperms (both living and extinct). Alternation of generations. Types, organizational structure and development of sporangia. Types of steles. Life history of selected members of various families.
 
PSB 221          GENERAL PLANT ANATOMY                                                  2units
The origin of primary body of plants. The structures, organization and functions of plant cells, tissues and tissue system. Plants cells for storage of food and other ergastic substances. Anatomy of monocotyledonous and dicotyledonous stem roots and leaves. Anatomy of xerophytes and hydrophytes. The cambium and its derivatives. Secondary growth. Xylem and bark in relation to cambial activity. Gymnosperm and Angiosperm wood. Plant micro-techniques.
 
PSB 241          GENERAL MYCOLOGY                                                              2units
A general account of the concepts of origin, affinities, distribution and economic importance of fungi. Morphology, taxonomy and reproduction of various classes of fungi with emphasis on local flora. An introduction to the construction of dichotomous key through understanding of mycological terminologies. Collection and preparation of herbarium specimens.
 
PSB 246          GENERAL PLANT PATHOLOGY                                             2units
Definition of concepts; classification and symptoms of plant diseases; Koch`s postulates. Disease triangle/pyramid. Morphology, taxonomy, reproduction, ecology, spread/epidemiology, identification, detection, isolation, composition and structure, transmission, nomenclature, symptoms and control /management of plant pathogenic bacteria, fungi, viruses, nematodes and plants.
 
PSB 261          CLIMATE CHANGE AND PLANT LIFE II                              1 unit
Causes of climate change, natural and anthropogenic; pollution- air, water and land, (causes, impact and mitigation); global warming: definition, greenhouse gases (sources, impact and mitigation). Impacts of climate change on life and environment, climate change and natural disasters; soil erosion; flooding; fire; environmental degradation, desert encroachment etc. Effects of climate change on causation of pattern of plant distribution and reproduction – vegetation etc.
 
 
PSB 272          MUSHROOM TECHNOLOGY                                                     2units
History of mushroom cultivation. Collection, identification and preservation of mushrooms. Spawn production. Inoculation procedures and cultivation of mushrooms. Pests and diseases of mushrooms. Industrial production and marketing of mushrooms etc.
 
PSB 274          PLANT MACROPROPAGATION AND FLORICULTURE   1units
Evaluation of the economic values of indigenous and exotic horticultural plants. Different propagation techniques for rapid propagation of indigenous tree crops. Growing flowers from seeds and cuttings, nursery techniques, hydroponics and use of plant hormones for accelerated propagation. Irrigation and dry season production of fruits and vegetables, Phenology and conservation.
 
PSB 301          PHYTOTECHNIQUES                                                                   1units
Biological drawings, Microtomy, Microscopy, Autoclaving, Photography and Photomicroscopy, Preparation of Microscope slides, Cytological techniques, Collection and preservation of plant specimens; Introductory Herbarium techniques, Mycological techniques; Photometry, Colorimetry, Chromatography, Chlorometry, Amino acid analysis, etc.
 
PSB 303          ETHNOMEDICINAL PLANTS                                                    2units
Description, identification and classification of medicinal plants. Preparation of extracts from various organs of plants.Gathering of ethnomedical information. Collection and conservation of medicinal plants. Relation of the medicinal qualities of plants to their habits, structures, functions and ecological niches. Refining of ethnomedicinal practices by indigenous people in relation to correct dosage and elimination of contaminants.
 
PSB 313          MORPHOLOGY AND PHYTOSYSTEMATICS OF HIGHER
PLANTS                                                                                2units
General morphology of Angiosperms; root, stem, leaf and shoot modifications. Ontogeny and Morphological interpretation of flowers. Structure and development of anther and ovule. Types of inflorescences. Features of selected families. Clinical and modern taxonomy. Origin of monocotyledons. Collection, identification and preservation of plant materials.
 
PSB 315          PALAEOBOTANY                                                                                      2units
Floral biology; micropalaeobotany of spores and pollens, Carbon dating, Evolution and Systematics of plants, Principles and uses of Palaeoecology. Fossilization – types, and prevailing conditions. Reconstruction of past flora, communities and environment using fossil deposits etc.
 
 
PSB 331          GENERAL PLANT PHYSIOLOGY                                2units
The physical and chemical properties of living plant cells; water, mineral and soil relations of plants; intermediary metabolism; growth and development. Respiration, Photosynthesis, Protein synthesis. Absorption and translocation. The control of growth and differentiation, plant growth hormones. The control of development, hormones and gene activity. Plant and manometry, chromatography and bioassay of growth hormone. Practical work covering the above topics.
 
PSB 355          GENERAL PLANT MOLECULAR BIOLOGY                        2units
Biogenesis of microtubules, microfilaments, golgi and mitochondria. Membrane – membrane interactions. Introduction to bioenergetics and thermodynamics. History and present trends in molecular Biology. Reproduction, cell division, cell differentiation and growth of cells. A brief study of the molecular basis of cell structure and development. Organelles – chloroplasts, cellulose cell wall. Plant proteins and nucleic acids. Electrophoresis and its principles; Agarose gel electrophoresis; SDS – page etc.
 
PSB 363          FOREST RESOURCES CONSERVATION                                2units
Major Features of Nigerian Vegetation Types. Forest Resources with emphasis on Timber, Food, Medicine and Industrial Raw Materials. Effects of Deforestation and Afforestation. Methods for Sustainable Conservation of Forest Resources.
 
PSB 365          VULNERABILITY AND ADAPTATION OF PLANTS TO
CLIMATECHANGE                                                                       1 unit
Adaptive features and physiognomy of trees and shrubs. Physiological adaptations to climate change, C3 and C4 plants. Influence of climate change on periodicity of plants, seed dormancy, dispersal, germination and vegetative propagation. Environmental impact assessment and climate change. Climate change and plant evolution, Plant breeding for adaptation to climate change. Field study on impact of climate change on plants in diverse ecological habitats etc.
 
PSB 367      CLIMATE CHANGE AND GLOBAL MITIGATION STRATEGIES                                                                                                                                                  1 unit
Reduction of carbon emissions, recycling, tree seedling production. Carbon sequestration strategies. Tree planting. Global policy and mitigation issues – energy, natural resource, population, education, integrated adaptation, etc. Global policy frameworks United Nations Framework on Climate Change (UNFCC), Kyoto Protocol, UN Conference on Environment and Development – Rio de Janeiro, Johannesburg Summit, Copenhagen Climate Change Summit etc.
 
PSB 371          PRINCIPLES OF PLANT BIOTECHNOLOGY                                    2units
Traditional Biotechnology, microbial fermentation etc. DNA: Types and functions; Basic structure of DNA; DNA replication, transcription and translation; Concept of genes; genetic codes and gene expression; Genetic modifications in living organisms; Types of DNA in living organisms and their locations in the cell; Gene cloning; Introduction of foreign gene into a host – transformation and transfection; Restriction enzymes and other enzymes used in genetic engineering; Cloning vectors: plasmids, bacteriophages, Yeast artificial chromosomes (YACs), Bacterial artificial chromosomes (BACs), Agrobacteriumtumifaciens in gene transfer, gene gun etc. Genetic engineering of plants and creation of transgenic plants.
 
PSB 391          RESEARCH METHODS AND PLANT BREEDING                2units
Field and laboratory data collection, categorization, organization and presentation. Experimental designs and data analysis. Introductory principles and practice of Plant breeding. Course is designed to prepare students for sound experimental designs, data interpretations and development of independent research capabilities in their final year.
 
PSB 392          STUDENTS INDUSTRIAL WORK EXPERIENCE (SIWES)
FIELD WORK                                                                                 6units
Industrial attachment in an approved Plant Science and Biotechnology based
industry/organization for 6 months.
 
PSB 394          SIWES REPORT                                                                             6units
Detailed written report on activities carried out during the industrial work experience.
 
PSB 396          SIWES SEMINAR                                                                           3units
Oral and visual presentation based on the industrial work experience, using accumulated
data and experience, from the 6 months exercise.
PSB 411          DENDROLOGY                                                                              2units
Morphology of plants and organs. Marking vegetation; physiognomy of trees and shrubs of the Nigerian Rain Forest and Savannas-stilt roots, pneumatophores; bole and classification of Nigerian flora. Forest Ecology. Beyond the forest. Elementary forest mensuration; Silviculture.
 
PSB 413          HERBARIUM AND PHYTOSYSTEMATICS                            2units
The studies of taxonomic characters; taxonomic evidence from external morphology, anatomy, cytology, phytochemistry. Variation within population. Population and environment. Computers and Taxonomy. Uses of phytosystematics in special areas like, pharmacognosy, palynology, phytogeography etc. Chemical plant taxonomy, past and recent advances in taxonomic research.
 
PSB 415          INTRODUCTORY PALYNOLOGY                                            2units
Outline and history of Palynology: Aspects of Palynology. The pollen grain; its form and function; morphological terminology, pollen and spores; development physiology and biochemistry; principles of pollination ecology, the production and dispersal of pollen and spores; pollen analysis in Palaeoecology; geology, melissopalynology, oil and petrochemical industries etc.
 
PSB 417          FRESHWATER PHYCOLOGY                                                    2units
Identification of freshwater algae. Types of freshwater habitats and their characteristics. Algal habitats and their characteristics. Sampling techniques, population estimates and dynamics in relation to seasonal changes. Aquatic pollution. Economic importance of algae etc.
 
PSB 422          PLANT ANATOMY                                                                                          2 units
Anomalous secondary growth.  Reaction wood. Distinction between wood and timber. Softwoods and hardwoods. Wood cell wall morphology under light microscope/ultrastructure. Properties of wood. Moisture characteristics of wood. Biotic agents of wood destruction. Wood preservation chemicals and treatment methods. Wood anatomy and biotechnology in criminology. Manufactured wood products. Some West African timbers and their characteristics etc.
 
PSB 424          TIMBER PRODUCTS TECHNOLOGY                                      2units
Distinction between pulp and paper. Historical perspectives on paper making. Sources of pulp materials. Pulping processes. Laboratory assessment of suitability of pulp elements for paper-making. Paper making procedure. Excursion to Pulp and paper making industries in Nigeria. Fibre cell wall morphology; Light microscope and ultrastructure.
 
PSB 431          ADVANCES IN PLANT PHYSIOLOGY                                    2units
Respiration. Photosynthesis. Protein synthesis. Absorption and translocation. The control of growth and differentiation, plant growth hormones. The control of development, hormones and gene activity. Plant and manometry, chromatography and bioassay of growth hormone etc.
 
PSB 433          PLANT EMBRYOLOGY AND MORPHOGENESIS                2units
Embryo development including endosperm formation, Polyembryony; apomixes. The seed. Embryology in relation to taxonomy. Experimental and applied embryology. Plant apical organization. Tissue differentiation, differentiation without growth. Growth polarity and development pattern. Symmetry and form. Regeneration in lower and higher plants. Chimeras. Abnormal development of organ. Morphogenetic factors and growth. Use of seedling, organ, tissue and cell culture techniques.
 
PSB 441          ADVANCES IN PLANT PATHOLOGY                                     2units
Survey of classification of plant pathogens and diseases. Principles of plant infection, diseased transmission and epidemiology. Physiology and anatomy of the diseases plant. Relation of environment to disease development. Principles of plant disease control. Review study of selected plant diseases.
 
PSB 443          FUNGUS PHYSIOLOGY                                                               2units
Composition of fungal cells, liberation and germination of spores. Growth and reproduction. Nutrition and metabolism. Synthesis of lipids and proteins. Vitamin requirements and their production, Microbial antagonism.
 
PSB 445          PLANT VIROLOGY AND DIAGNOSTICS                               2units
Survey of plant viruses with special reference to structure, physical and chemical properties; serological relationships, transmission, variability, infection, replication, movement, quantitative assays, purification and electron microscopy. Acquired immunity and environmental influence, studies of selected virus diseases and general principles of control.
 
PSB 451          CYTOLOGY                                                                                    2units
Detailed study of the cell and its organelles at the ultrastructural  level. Cytology, heredity, taxonomy and evolution. Energy balance sheet of the cell, metabolic interrelations. Variations in chromosome number and size. Karyotype analysis. Use of cytology in detection and monitoring of environmental pollutions. Effects of mutation on chromosome number and morphology. Recent advances in Cytology etc.
 
PSB 453          GENETICS AND PLANT BREEDING                                             2 units
Studies of pure lines, Hardy-Weinberg equilibrium and quantitative inheritance, heritability, genetic drift and equilibrium, inbreeding depression and heterosis, methods of breeding including breeding for resistance. Effects of polyploidy, mutation, etc in plant breeding. Recent advances in plant breeding.
 
 
PSB 455          ADVANCES IN PLANT MOLECULAR BIOLOGY                2units
The Structure, conformation and other properties of nucleic acids and proteins, with special reference to X-ray crystallography and other physical techniques. Polysaccharides, glycoprotein, cell wall structures and lignin, etc. and related biological macromolecules. Structure and properties of DNA and RNA etc.
 
 
PSB 457          PHYTOBIOINFORMATICS                                                         1 unit
Use of computer information technology to analyze and integrate diverse biological data generated by Plant biotechnological advances.Analysis of varied genomic and post genomic data generated by the – omic technologies.Access to GenBank meta-database for information on DNA sequence data.Sharing of biotechnological information using the internet etc.
PSB 461          AQUATIC AND POLLUTION BIOLOGY                                 2units
Types and sources of Pollution.Water, Land and Air pollution.Methods of remediation and control of pollution, Aquatic plants – Microphytes and Macrophytes.Effects of pollution on plants. Plants used in phytoremediation. Economic importance of pollution etc.
 
PSB 462          PLANT ECOLOGY                                                                        2units
Population Ecology, Pattern, Concept of Plant Community, Vegetational changes and climax vegetation, Allelopathy, Seed dispersal and dormancy. Weed ecology and control measures. Fire as an ecological factor. Primary Productivity etc.
 
PSB 463          ECONOMIC AND INDUSTRIAL BOTANY                              2units
Origin and evolution of cultivated plants with special reference to Nigeria and West Africa. Productivity and the economic aspects of the utilization of food resources, aspects of land use in crops production. Classification, botanical characteristics and economic exploitation of plants used as sources of food, fibres, oil, latex, timber, drugs, etc.
